"Crop","Season","State","Area","Production","Annual_Rainfall","Fertilizer","Pesticide","Yield"
"Groundnut","Kharif     ","West Bengal","1792","1833","1526.7","177372.16","430.08","1.077142857"
"Jowar","Kharif     ","West Bengal","1283","616","1526.7","126991.34","307.92","0.5325"
"Jute","Kharif     ","West Bengal","620421","8366723","1526.7","61409270.58","148901.04","14.47764706"
"Maize","Kharif     ","West Bengal","55530","126059","1526.7","5496359.4","13327.2","2.133333333"
"Mesta","Kharif     ","West Bengal","9715","98807","1526.7","961590.7","2331.6","11.30461538"
"Moong(Green Gram)","Kharif     ","West Bengal","835","431","1526.7","82648.3","200.4","0.61"
"Niger seed","Kharif     ","West Bengal","7954","4953","1526.7","787286.92","1908.96","0.54625"
"Other Kharif pulses","Kharif     ","West Bengal","760","388","1526.7","75224.8","182.4","0.496"
"Ragi","Kharif     ","West Bengal","13417","15505","1526.7","1328014.66","3220.08","0.76"
"Small millets","Kharif     ","West Bengal","2756","1828","1526.7","272788.88","661.44","0.8025"
"Soyabean","Kharif     ","West Bengal","21","15","1526.7","2078.58","5.04","0.72"
"Sunflower","Kharif     ","West Bengal","8465","5594","1526.7","837865.7","2031.6","0.585333333"
"Urad","Kharif     ","West Bengal","51227","31163","1526.7","5070448.46","12294.48","0.523529412"
"Arhar/Tur","Kharif     ","Karnataka","562127","291113","1117.7","60900839.18","118046.67","0.53875"
"Bajra","Kharif     ","Karnataka","442372","264203","1117.7","47926582.48","92898.12","0.592"
"Castor seed","Kharif     ","Karnataka","20161","17493","1117.7","2184242.74","4233.81","0.908"
"Cotton(lint)","Kharif     ","Karnataka","521860","624566","1117.7","56538312.4","109590.6","1.357142857"
"Ginger","Kharif     ","Karnataka","11019","143455","1117.7","1193798.46","2313.99","12.84"
"Groundnut","Kharif     ","Karnataka","812826","538320","1117.7","88061568.84","170693.46","0.6988"
"Horse-gram","Kharif     ","Karnataka","140741","73217","1117.7","15247879.94","29555.61","0.553461538"
"Jowar","Kharif     ","Karnataka","378181","530865","1117.7","40972129.54","79418.01","1.296190476"
"Maize","Kharif     ","Karnataka","783835","2310082","1117.7","84920683.9","164605.35","3.0068"
"Mesta","Kharif     ","Karnataka","2810","3983","1117.7","304435.4","590.1","1.714"
"Moong(Green Gram)","Kharif     ","Karnataka","517592","81212","1117.7","56075917.28","108694.32","0.170833333"
"Niger seed","Kharif     ","Karnataka","32700","6169","1117.7","3542718","6867","0.213913043"
"Other Kharif pulses","Kharif     ","Karnataka","164849","54161","1117.7","17859740.66","34618.29","0.276153846"
"Ragi","Kharif     ","Karnataka","840781","1571399","1117.7","91090213.54","176564.01","1.603157895"
"Rice","Kharif     ","Karnataka","1055061","2627561","1117.7","114305308.7","221562.81","2.37"
"Sesamum","Kharif     ","Karnataka","106539","57400","1117.7","11542435.26","22373.19","0.5664"
"Small millets","Kharif     ","Karnataka","58359","30584","1117.7","6322614.06","12255.39","0.532105263"
"Soyabean","Kharif     ","Karnataka","159031","99535","1117.7","17229418.54","33396.51","0.633846154"
"Sunflower","Kharif     ","Karnataka","601981","262686","1117.7","65218621.54","126416.01","0.56375"
"Urad","Kharif     ","Karnataka","128006","14678","1117.7","13868170.04","26881.26","0.134285714"
"Cotton(lint)","Kharif     ","Kerala","1472","2370","2880.2","159476.48","309.12","1.61"
"Groundnut","Kharif     ","Kerala","1346","996","2880.2","145825.64","282.66","0.74"
"Jowar","Kharif     ","Kerala","2566","1309","2880.2","278000.44","538.86","0.505"
"Other Cereals","Kharif     ","Kerala","955","746","2880.2","103464.7","200.55","0.8475"
"Ragi","Kharif     ","Kerala","1383","1119","2880.2","149834.22","290.43","0.782"
"Sesamum","Kharif     ","Kerala","883","260","2880.2","95664.22","185.43","0.228333333"
"Arhar/Tur","Kharif     ","Meghalaya","804","633","4767.9","87105.36","168.84","0.806666667"
"Castor seed","Kharif     ","Meghalaya","32","20","4767.9","3466.88","6.72","0.693333333"
"Cotton(lint)","Kharif     ","Meghalaya","7231","7765","4767.9","783406.54","1518.51","1.046666667"
"Ginger","Kharif     ","Meghalaya","9222","47138","4767.9","999111.48","1936.62","6.122857143"
"Jute","Kharif     ","Meghalaya","4019","20153","4767.9","435418.46","843.99","4.8"
"Maize","Kharif     ","Meghalaya","16875","24000","4767.9","1828237.5","3543.75","1.465714286"
"Mesta","Kharif     ","Meghalaya","4195","19018","4767.9","454486.3","880.95","4.543333333"
"Sesamum","Kharif     ","Meghalaya","1628","860","4767.9","176377.52","341.88","0.548333333"
"Small millets","Kharif     ","Meghalaya","2652","2241","4767.9","287317.68","556.92","0.957142857"
"Soyabean","Kharif     ","Meghalaya","967","935","4767.9","104764.78","203.07","0.915714286"
"Sweet potato","Kharif     ","Meghalaya","4974","16172","4767.9","538883.16","1044.54","3.352857143"
"Arhar/Tur","Kharif     ","Tamil Nadu","43416","28979","1034","4703689.44","9117.36","0.6684"
"Bajra","Kharif     ","Tamil Nadu","97608","124300","1034","10574850.72","20497.68","1.408846154"
"Castor seed","Kharif     ","Tamil Nadu","8269","2598","1034","895863.46","1736.49","0.3392"
"Cotton(lint)","Kharif     ","Tamil Nadu","129364","185960","1034","14015295.76","27166.44","1.571153846"
"Ginger","Kharif     ","Tamil Nadu","574","11076","1034","62187.16","120.54","19.255"
"Groundnut","Kharif     ","Tamil Nadu","615877","1005342","1034","66724114.18","129334.17","1.790714286"
"Horse-gram","Kharif     ","Tamil Nadu","67513","20110","1034","7314358.42","14177.73","0.3068"
"Jowar","Kharif     ","Tamil Nadu","376739","252063","1034","40815903.26","79115.19","0.825"
"Maize","Kharif     ","Tamil Nadu","189893","294717","1034","20573007.62","39877.53","1.758846154"
"Moong(Green Gram)","Kharif     ","Tamil Nadu","154959","61760","1034","16788258.06","32541.39","0.417777778"
"Niger seed","Kharif     ","Tamil Nadu","1239","0","1034","134233.26","260.19","0"
"Other Kharif pulses","Kharif     ","Tamil Nadu","91578","18642","1034","9921560.52","19231.38","0.201071429"
"Ragi","Kharif     ","Tamil Nadu","108845","154085","1034","11792267.3","22857.45","1.742307692"
"Rice","Kharif     ","Tamil Nadu","1872822","5061622","1034","202901535.5","393292.62","3.015172414"
"Sesamum","Kharif     ","Tamil Nadu","72725","33840","1034","7879026.5","15272.25","0.397857143"
"Small millets","Kharif     ","Tamil Nadu","50576","42869","1034","5479403.84","10620.96","0.8724"
"Sunflower","Kharif     ","Tamil Nadu","18152","19303","1034","1966587.68","3811.92","1.002962963"
"Urad","Kharif     ","Tamil Nadu","226364","82998","1034","24524275.76","47536.44","0.4075"
"Arhar/Tur","Kharif     ","Andhra Pradesh","494523","300636","1075.5","59303198.16","103849.83","0.554545455"
"Bajra","Kharif     ","Andhra Pradesh","68884","72401","1075.5","8260569.28","14465.64","0.941666667"
"Castor seed","Kharif     ","Andhra Pradesh","344587","140019","1075.5","41322873.04","72363.27","0.462777778"
"Cotton(lint)","Kharif     ","Andhra Pradesh","1032629","2107984","1075.5","123832869.7","216852.09","1.727272727"
"Dry chillies","Kharif     ","Andhra Pradesh","127631","417095","1075.5","15305509.52","26802.51","2.937272727"
"Groundnut","Kharif     ","Andhra Pradesh","1614668","912020","1075.5","193630986.6","339080.28","1.069545455"
"Horse-gram","Kharif     ","Andhra Pradesh","9919","4917","1075.5","1189486.48","2082.99","0.43"
"Jowar","Kharif     ","Andhra Pradesh","182851","280035","1075.5","21927491.92","38398.71","0.996818182"
"Maize","Kharif     ","Andhra Pradesh","593135","2098190","1075.5","71128749.2","124558.35","3.803636364"
"Mesta","Kharif     ","Andhra Pradesh","49827","455487","1075.5","5975253.84","10463.67","8.926666667"
"Moong(Green Gram)","Kharif     ","Andhra Pradesh","251959","122697","1075.5","30214923.28","52911.39","0.582272727"
"Niger seed","Kharif     ","Andhra Pradesh","15748","6097","1075.5","1888500.16","3307.08","0.465"
"Onion","Kharif     ","Andhra Pradesh","20434","364201","1075.5","2450445.28","4291.14","15.5455"
"Other Kharif pulses","Kharif     ","Andhra Pradesh","14585","3836","1075.5","1749033.2","3062.85","0.274666667"
"Ragi","Kharif     ","Andhra Pradesh","56576","62947","1075.5","6784593.92","11880.96","1.316428571"
"Rice","Kharif     ","Andhra Pradesh","2526108","6376990","1075.5","302930871.4","530482.68","2.549090909"
"Sesamum","Kharif     ","Andhra Pradesh","79424","16278","1075.5","9524526.08","16679.04","0.205714286"
"Small millets","Kharif     ","Andhra Pradesh","43674","26264","1075.5","5237386.08","9171.54","0.6"
"Soyabean","Kharif     ","Andhra Pradesh","97692","190937","1075.5","11715224.64","20515.32","1.424166667"
"Urad","Kharif     ","Andhra Pradesh","79206","33844","1075.5","9498383.52","16633.26","0.384761905"
"Arhar/Tur","Kharif     ","Assam","6473","4529","2184.6","776242.16","1359.33","0.704444444"
"Castor seed","Kharif     ","Assam","1364","577","2184.6","163570.88","286.44","0.422"
"Cotton(lint)","Kharif     ","Assam","1352","632","2184.6","162131.84","283.92","0.4172"
"Jute","Kharif     ","Assam","56757","578858","2184.6","6806299.44","11918.97","10.28740741"
"Maize","Kharif     ","Assam","18969","13745","2184.6","2274762.48","3983.49","0.635925926"
"Mesta","Kharif     ","Assam","4914","24678","2184.6","589286.88","1031.94","4.650434783"
"Niger seed","Kharif     ","Assam","7374","3787","2184.6","884290.08","1548.54","0.529545455"
"Sesamum","Kharif     ","Assam","13864","7702","2184.6","1662570.88","2911.44","0.487777778"
"Small millets","Kharif     ","Assam","7714","3947","2184.6","925062.88","1619.94","0.504814815"
"Arhar/Tur","Kharif     ","Karnataka","599884","407832","1316.2","71938089.28","125975.64","0.5968"
"Bajra","Kharif     ","Karnataka","429889","389420","1316.2","51552288.88","90276.69","0.80875"
"Castor seed","Kharif     ","Karnataka","24981","25989","1316.2","2995721.52","5246.01","1.086666667"
"Dry chillies","Kharif     ","Karnataka","116047","84364","1316.2","13916356.24","24369.87","0.830384615"
"Groundnut","Kharif     ","Karnataka","867704","445749","1316.2","104055063.7","182217.84","0.562"
"Horse-gram","Kharif     ","Karnataka","124702","71145","1316.2","14954263.84","26187.42","0.609166667"
"Jowar","Kharif     ","Karnataka","323189","482196","1316.2","38756824.88","67869.69","1.426190476"
"Maize","Kharif     ","Karnataka","842243","2486900","1316.2","101001780.6","176871.03","3.1212"
"Moong(Green Gram)","Kharif     ","Karnataka","393240","96325","1316.2","47157340.8","82580.4","0.242173913"
"Niger seed","Kharif     ","Karnataka","33184","6366","1316.2","3979425.28","6968.64","0.212173913"
"Onion","Kharif     ","Karnataka","136344","759619","1316.2","16350372.48","28632.24","6.543913043"
"Other Kharif pulses","Kharif     ","Karnataka","151868","49236","1316.2","18212010.56","31892.28","0.279583333"
"Peas & beans (Pulses)","Kharif     ","Karnataka","4174","25514","1316.2","500546.08","876.54","5.612105263"
"Potato","Kharif     ","Karnataka","67623","226399","1316.2","8109350.16","14200.83","3.381333333"
"Ragi","Kharif     ","Karnataka","883984","1551359","1316.2","106007361.3","185636.64","1.4915"
"Rice","Kharif     ","Karnataka","1075993","2770413","1316.2","129033080.6","225958.53","2.50962963"
"Sesamum","Kharif     ","Karnataka","102862","89097","1316.2","12335211.04","21601.02","0.879615385"
"Small millets","Kharif     ","Karnataka","52273","26918","1316.2","6268578.16","10977.33","0.5485"
"Soyabean","Kharif     ","Karnataka","133445","74802","1316.2","16002724.4","28023.45","0.556666667"
"Sunflower","Kharif     ","Karnataka","661178","273972","1316.2","79288465.76","138847.38","0.5125"
"Urad","Kharif     ","Karnataka","100773","19710","1316.2","12084698.16","21162.33","0.19"
"Cotton(lint)","Kharif     ","Kerala","2655","3452","3030.9","318387.6","557.55","1.3"
"Groundnut","Kharif     ","Kerala","3299","2441","3030.9","395616.08","692.79","0.74"
"Jowar","Kharif     ","Kerala","2450","1248","3030.9","293804","514.5","0.2525"
"Other Cereals","Kharif     ","Kerala","11","21","3030.9","1319.12","2.31","1.91"
"Ragi","Kharif     ","Kerala","414","335","3030.9","49646.88","86.94","0.81"
"Sesamum","Kharif     ","Kerala","600","210","3030.9","71952","126","0.314545455"
"Arhar/Tur","Kharif     ","Meghalaya","804","633","3374.4","96415.68","168.84","0.796666667"
"Castor seed","Kharif     ","Meghalaya","33","21","3374.4","3957.36","6.93","0.693333333"
"Cotton(lint)","Kharif     ","Meghalaya","7231","7768","3374.4","867141.52","1518.51","1.046666667"
"Ginger","Kharif     ","Meghalaya","9625","53609","3374.4","1154230","2021.25","6.558571429"
"Jute","Kharif     ","Meghalaya","4017","35499","3374.4","481718.64","843.57","7.11"
"Maize","Kharif     ","Meghalaya","16898","24424","3374.4","2026408.16","3548.58","1.481428571"
"Mesta","Kharif     ","Meghalaya","4436","20212","3374.4","531965.12","931.56","4.563333333"
"Sesamum","Kharif     ","Meghalaya","1627","868","3374.4","195109.84","341.67","0.578333333"
"Small millets","Kharif     ","Meghalaya","2670","2272","3374.4","320186.4","560.7","0.955714286"
"Arhar/Tur","Kharif     ","Tamil Nadu","37769","20400","1364.1","4529258.48","7931.49","0.6375"
"Bajra","Kharif     ","Tamil Nadu","81925","94799","1364.1","9824446","17204.25","1.3144"
"Castor seed","Kharif     ","Tamil Nadu","8391","2777","1364.1","1006248.72","1762.11","0.313333333"
"Cotton(lint)","Kharif     ","Tamil Nadu","109742","168154","1364.1","13160260.64","23045.82","1.643703704"
"Ginger","Kharif     ","Tamil Nadu","660","12735","1364.1","79147.2","138.6","19.31714286"
"Groundnut","Kharif     ","Tamil Nadu","618835","1097592","1364.1","74210693.2","129955.35","1.91"
"Horse-gram","Kharif     ","Tamil Nadu","60415","22023","1364.1","7244966.8","12687.15","0.3724"
"Jowar","Kharif     ","Tamil Nadu","316274","231449","1364.1","37927578.08","66417.54","0.897083333"
"Maize","Kharif     ","Tamil Nadu","202830","0","1364.1","24323373.6","42594.3","0"
"Mesta","Kharif     ","Tamil Nadu","1","0","1364.1","119.92","0.21","0"
"Moong(Green Gram)","Kharif     ","Tamil Nadu","136699","45881","1364.1","16392944.08","28706.79","0.383571429"
"Niger seed","Kharif     ","Tamil Nadu","638","0","1364.1","76508.96","133.98","0"
"Other Kharif pulses","Kharif     ","Tamil Nadu","68999","21356","1364.1","8274360.08","14489.79","0.366923077"
"Ragi","Kharif     ","Tamil Nadu","99549","132172","1364.1","11937916.08","20905.29","1.621923077"
"Rice","Kharif     ","Tamil Nadu","2050455","5209433","1364.1","245890563.6","430595.55","2.895517241"
"Sannhamp","Kharif     ","Tamil Nadu","10","0","1364.1","1199.2","2.1","0"
"Sesamum","Kharif     ","Tamil Nadu","65118","30772","1364.1","7808950.56","13674.78","0.414444444"
"Small millets","Kharif     ","Tamil Nadu","40366","30071","1364.1","4840690.72","8476.86","0.77375"
"Soyabean","Kharif     ","Tamil Nadu","630","0","1364.1","75549.6","132.3","0"
"Sunflower","Kharif     ","Tamil Nadu","17056","21148","1364.1","2045355.52","3581.76","1.18037037"
"Urad","Kharif     ","Tamil Nadu","215448","70758","1364.1","25836524.16","45244.08","0.403571429"
"Bajra","Kharif     ","West Bengal","55","19","1650.1","6595.6","11.55","0.5"
"Cotton(lint)","Kharif     ","West Bengal","1506","3857","1650.1","180599.52","316.26","2.22"
"Ginger","Kharif     ","West Bengal","7694","13953","1650.1","922664.48","1615.74","1.726111111"
"Jowar","Kharif     ","West Bengal","1439","562","1650.1","172564.88","302.19","0.436666667"
"Jute","Kharif     ","West Bengal","558938","7989246","1650.1","67027844.96","117376.98","14.95882353"
"Maize","Kharif     ","West Bengal","71753","207252","1650.1","8604619.76","15068.13","2.601764706"
"Mesta","Kharif     ","West Bengal","10358","125254","1650.1","1242131.36","2175.18","11.78285714"
"Moong(Green Gram)","Kharif     ","West Bengal","725","365","1650.1","86942","152.25","0.565"
"Niger seed","Kharif     ","West Bengal","5033","3270","1650.1","603557.36","1056.93","0.45875"
"Other Kharif pulses","Kharif     ","West Bengal","854","541","1650.1","102411.68","179.34","0.5375"
"Ragi","Kharif     ","West Bengal","12621","15315","1650.1","1513510.32","2650.41","0.868"
"Small millets","Kharif     ","West Bengal","2113","1627","1650.1","253390.96","443.73","0.744285714"
"Soyabean","Kharif     ","West Bengal","573","328","1650.1","68714.16","120.33","0.605"
"Sunflower","Kharif     ","West Bengal","12473","15689","1650.1","1495762.16","2619.33","1.175"
"Urad","Kharif     ","West Bengal","48605","30714","1650.1","5828711.6","10207.05","0.492352941"
"Arecanut","Kharif     ","Puducherry","63","82","1434.5875","8045.73","13.86","1.3"
"Banana","Kharif     ","Puducherry","305","9890","1434.5875","38951.55","67.1","22.23666667"
"Black pepper","Kharif     ","Puducherry","12","7","1434.5875","1532.52","2.64","0.58"
"Dry chillies","Kharif     ","Puducherry","1","2","1434.5875","127.71","0.22","2"
"Rice","Kharif     ","Puducherry","5010","13285","1434.5875","639827.1","1102.2","2.64"
"Sugarcane","Kharif     ","Puducherry","2500","383706","1434.5875","319275","550","112.3"
"Tapioca","Kharif     ","Puducherry","357","14141","1434.5875","45592.47","78.54","26.93"
"Banana","Kharif     ","Meghalaya","6422","72367","2454.7","820153.62","1412.84","10.31714286"
"Ginger","Kharif     ","Meghalaya","9639","57278","2454.7","1230996.69","2120.58","7.088571429"
"Maize","Kharif     ","Meghalaya","17039","25334","2454.7","2176050.69","3748.58","1.541428571"
"Mesta","Kharif     ","Meghalaya","4425","20178","2454.7","565116.75","973.5","4.566666667"
"Soyabean","Kharif     ","Meghalaya","1052","1031","2454.7","134350.92","231.44","0.972857143"
"Tapioca","Kharif     ","Meghalaya","3993","20870","2454.7","509946.03","878.46","6.318571429"
"Arhar/Tur","Kharif     ","Andhra Pradesh","395644","157669","845.2","50527695.24","87041.68","0.420454545"
"Bajra","Kharif     ","Andhra Pradesh","48995","39988","845.2","6257151.45","10778.9","0.7375"
"Castor seed","Kharif     ","Andhra Pradesh","202199","86892","845.2","25822834.29","44483.78","0.444117647"
"Cotton(lint)","Kharif     ","Andhra Pradesh","971806","2181944","845.2","124109344.3","213797.32","2.080952381"
"Dry chillies","Kharif     ","Andhra Pradesh","164886","609739","845.2","21057591.06","36274.92","3.297727273"
"Groundnut","Kharif     ","Andhra Pradesh","1106630","332732","845.2","141327717.3","243458.6","0.874545455"
"Horse-gram","Kharif     ","Andhra Pradesh","10311","4554","845.2","1316817.81","2268.42","0.435"
"Jowar","Kharif     ","Andhra Pradesh","163068","163689","845.2","20825414.28","35874.96","0.90952381"
"Maize","Kharif     ","Andhra Pradesh","535709","1284991","845.2","68415396.39","117855.98","2.942727273"
"Mesta","Kharif     ","Andhra Pradesh","61894","543574","845.2","7904482.74","13616.68","8.692222222"
"Moong(Green Gram)","Kharif     ","Andhra Pradesh","246320","80062","845.2","31457527.2","54190.4","0.312727273"
"Niger seed","Kharif     ","Andhra Pradesh","14547","5334","845.2","1857797.37","3200.34","0.4225"
"Onion","Kharif     ","Andhra Pradesh","18601","306843","845.2","2375533.71","4092.22","15.37055556"
"Other Kharif pulses","Kharif     ","Andhra Pradesh","10190","3106","845.2","1301364.9","2241.8","0.298666667"
"Ragi","Kharif     ","Andhra Pradesh","50702","50883","845.2","6475152.42","11154.44","1.205"
"Rice","Kharif     ","Andhra Pradesh","2640870","6949186","845.2","337265507.7","580991.4","2.689090909"
"Sesamum","Kharif     ","Andhra Pradesh","79449","18224","845.2","10146431.79","17478.78","0.213809524"
"Small millets","Kharif     ","Andhra Pradesh","33676","17007","845.2","4300761.96","7408.72","0.5475"
"Soyabean","Kharif     ","Andhra Pradesh","102503","156222","845.2","13090658.13","22550.66","1.191111111"
"Urad","Kharif     ","Andhra Pradesh","82015","22555","845.2","10474135.65","18043.3","0.339473684"
"Arhar/Tur","Kharif     ","Assam","6676","4769","1774.9","852591.96","1468.72","0.706666667"
"Castor seed","Kharif     ","Assam","1303","552","1774.9","166406.13","286.66","0.4636"
"Cotton(lint)","Kharif     ","Assam","1374","648","1774.9","175473.54","302.28","0.518461538"
"Jute","Kharif     ","Assam","57663","558564","1774.9","7364141.73","12685.86","9.352962963"
"Maize","Kharif     ","Assam","18657","13557","1774.9","2382685.47","4104.54","0.6252"
"Mesta","Kharif     ","Assam","4860","24668","1774.9","620670.6","1069.2","4.6988"
"Niger seed","Kharif     ","Assam","10029","5147","1774.9","1280803.59","2206.38","0.53"
"Sesamum","Kharif     ","Assam","13378","7586","1774.9","1708504.38","2943.16","0.496666667"
"Small millets","Kharif     ","Assam","7473","3843","1774.9","954376.83","1644.06","0.500384615"
"Arhar/Tur","Kharif     ","Karnataka","595697","262673","1146.3","76076463.87","131053.34","0.4648"
"Bajra","Kharif     ","Karnataka","386456","161903","1146.3","49354295.76","85020.32","0.485"
"Castor seed","Kharif     ","Karnataka","20230","16163","1146.3","2583573.3","4450.6","0.827727273"
"Gram","Kharif     ","Karnataka","134069","18350","1146.3","17121951.99","29495.18","0.164285714"
"Groundnut","Kharif     ","Karnataka","617992","211868","1146.3","78923758.32","135958.24","0.4028"
"Horse-gram","Kharif     ","Karnataka","111793","40225","1146.3","14277084.03","24594.46","0.370434783"
"Jowar","Kharif     ","Karnataka","287515","335000","1146.3","36718540.65","63253.3","1.11047619"
"Maize","Kharif     ","Karnataka","865850","2354023","1146.3","110577703.5","190487","2.7448"
"Moong(Green Gram)","Kharif     ","Karnataka","440724","50943","1146.3","56284862.04","96959.28","0.158695652"
"Niger seed","Kharif     ","Karnataka","27426","5197","1146.3","3502574.46","6033.72","0.213043478"
"Other Kharif pulses","Kharif     ","Karnataka","116341","88598","1146.3","14857909.11","25595.02","0.785"
"Ragi","Kharif     ","Karnataka","554193","584337","1146.3","70775988.03","121922.46","1.002631579"
"Rapeseed &Mustard","Kharif     ","Karnataka","3691","974","1146.3","471377.61","812.02","0.218235294"
"Rice","Kharif     ","Karnataka","1066981","2723038","1146.3","136264143.5","234735.82","2.428148148"
"Sesamum","Kharif     ","Karnataka","85356","50207","1146.3","10900814.76","18778.32","0.597307692"
"Small millets","Kharif     ","Karnataka","39586","21403","1146.3","5055528.06","8708.92","0.442105263"
"Soyabean","Kharif     ","Karnataka","131139","97209","1146.3","16747761.69","28850.58","0.763333333"
"Sunflower","Kharif     ","Karnataka","595080","168016","1146.3","75997666.8","130917.6","0.407916667"
"Urad","Kharif     ","Karnataka","134069","18350","1146.3","17121951.99","29495.18","0.164285714"
"Cotton(lint)","Kharif     ","Kerala","1300","1690","3429.7","166023","286","1.3"
"Groundnut","Kharif     ","Kerala","2813","2081","3429.7","359248.23","618.86","0.74"
"Jowar","Kharif     ","Kerala","1827","929","3429.7","233326.17","401.94","0.593333333"
"Other Cereals","Kharif     ","Kerala","625","489","3429.7","79818.75","137.5","0.793333333"
"Ragi","Kharif     ","Kerala","516","417","3429.7","65898.36","113.52","0.7225"
"Sesamum","Kharif     ","Kerala","732","294","3429.7","93483.72","161.04","0.397"
"Rice","Kharif     ","Tamil Nadu","1931397","6610607","927.9","246658710.9","424907.34","3.584827586"
"Small millets","Kharif     ","Tamil Nadu","52702","61473","927.9","6730572.42","11594.44","1.057826087"
"Bajra","Kharif     ","West Bengal","79","31","1631.4","10089.09","17.38","0.39"
"Cotton(lint)","Kharif     ","West Bengal","5650","14678","1631.4","721561.5","1243","3.898571429"
"Ginger","Kharif     ","West Bengal","9816","20061","1631.4","1253601.36","2159.52","1.741666667"
"Jowar","Kharif     ","West Bengal","1395","606","1631.4","178155.45","306.9","0.473333333"
"Jute","Kharif     ","West Bengal","594874","8411537","1631.4","75971358.54","130872.28","14.85647059"
"Maize","Kharif     ","West Bengal","85446","253505","1631.4","10912308.66","18798.12","2.723125"
"Mesta","Kharif     ","West Bengal","9660","94530","1631.4","1233678.6","2125.2","9.248333333"
"Moong(Green Gram)","Kharif     ","West Bengal","874","325","1631.4","111618.54","192.28","0.4475"
"Niger seed","Kharif     ","West Bengal","4930","3218","1631.4","629610.3","1084.6","0.481428571"
"Other Kharif pulses","Kharif     ","West Bengal","1052","562","1631.4","134350.92","231.44","0.501666667"
"Ragi","Kharif     ","West Bengal","13135","14974","1631.4","1677470.85","2889.7","0.706"
"Small millets","Kharif     ","West Bengal","1604","1129","1631.4","204846.84","352.88","0.591666667"
"Soyabean","Kharif     ","West Bengal","531","317","1631.4","67814.01","116.82","0.5625"
"Sunflower","Kharif     ","West Bengal","13674","17686","1631.4","1746306.54","3008.28","1.2025"
"Urad","Kharif     ","West Bengal","53388","34664","1631.4","6818181.48","11745.36","0.56"
"Arecanut","Kharif     ","Puducherry","61","78","1434.5875","8137.4","9.76","1.28"
"Bajra","Kharif     ","Puducherry","64","133","1434.5875","8537.6","10.24","2.08"
"Banana","Kharif     ","Puducherry","318","10457","1434.5875","42421.2","50.88","22.45"
"Black pepper","Kharif     ","Puducherry","12","7","1434.5875","1600.8","1.92","0.58"
"Dry chillies","Kharif     ","Puducherry","1","1","1434.5875","133.4","0.16","1"
"Groundnut","Kharif     ","Puducherry","29","53","1434.5875","3868.6","4.64","1.83"
"Jowar","Kharif     ","Puducherry","3","5","1434.5875","400.2","0.48","1.67"
"Ragi","Kharif     ","Puducherry","23","48","1434.5875","3068.2","3.68","1.57"
"Rice","Kharif     ","Puducherry","4379","12878","1434.5875","584158.6","700.64","2.986666667"
"Sesamum","Kharif     ","Puducherry","14","11","1434.5875","1867.6","2.24","0.79"
"Small millets","Kharif     ","Puducherry","2","1","1434.5875","266.8","0.32","0.5"
"Sugarcane","Kharif     ","Puducherry","2323","228416","1434.5875","309888.2","371.68","86.75"
"Sunflower","Kharif     ","Puducherry","5","3","1434.5875","667","0.8","0.75"
"Tapioca","Kharif     ","Puducherry","333","13371","1434.5875","44422.2","53.28","26.9"
"Urad","Kharif     ","Puducherry","57","39","1434.5875","7603.8","9.12","0.68"
"Arhar/Tur","Kharif     ","Assam","5893","4230","2154.1","786126.2","942.88","0.712962963"
"Castor seed","Kharif     ","Assam","1193","509","2154.1","159146.2","190.88","0.4468"
"Cotton(lint)","Kharif     ","Assam","1359","635","2154.1","181290.6","217.44","0.445217391"
"Jute","Kharif     ","Assam","59842","656821","2154.1","7982922.8","9574.72","10.37444444"
"Maize","Kharif     ","Assam","18362","13317","2154.1","2449490.8","2937.92","0.60962963"
"Mesta","Kharif     ","Assam","5253","26897","2154.1","700750.2","840.48","4.7625"
"Niger seed","Kharif     ","Assam","8627","4420","2154.1","1150841.8","1380.32","0.535652174"
"Sesamum","Kharif     ","Assam","12694","7238","2154.1","1693379.6","2031.04","0.505555556"
"Small millets","Kharif     ","Assam","6919","3521","2154.1","922994.6","1107.04","0.495384615"
"Arhar/Tur","Kharif     ","Karnataka","681136","451013","1323.3","90863542.4","108981.76","0.644230769"
"Bajra","Kharif     ","Karnataka","429832","332790","1323.3","57339588.8","68773.12","0.8875"
"Castor seed","Kharif     ","Karnataka","23387","15682","1323.3","3119825.8","3741.92","0.6725"
"Dry chillies","Kharif     ","Karnataka","126372","113828","1323.3","16858024.8","20219.52","0.993928571"
"Groundnut","Kharif     ","Karnataka","736971","538923","1323.3","98311931.4","117915.36","0.732592593"
"Horse-gram","Kharif     ","Karnataka","100262","51331","1323.3","13374950.8","16041.92","0.563333333"
"Jowar","Kharif     ","Karnataka","302808","492315","1323.3","40394587.2","48449.28","1.456666667"
"Maize","Kharif     ","Karnataka","1015117","2950506","1323.3","135416607.8","162418.72","3.112962963"
"Moong(Green Gram)","Kharif     ","Karnataka","520630","117008","1323.3","69452042","83300.8","0.217391304"
"Niger seed","Kharif     ","Karnataka","31244","11750","1323.3","4167949.6","4999.04","0.349166667"
"Onion","Kharif     ","Karnataka","165668","987538","1323.3","22100111.2","26506.88","6.5028"
"Other Kharif pulses","Kharif     ","Karnataka","145273","107959","1323.3","19379418.2","23243.68","0.766153846"
"Potato","Kharif     ","Karnataka","54981","181310","1323.3","7334465.4","8796.96","5.07"
